Opponent,Bat first,Won
Peshawar zalmi,No,FALSE
Multan sultan,NO,TRUE
Quetta gladiators,Yes,FALSE
Lahore qalanders,Yes,TRUE
Karachi kings,No,TRUE
Lahore qalanders,No,TRUE
Peshawar zalmi,Yes,TRUE
Multan sultan,Yes,TRUE
Quetta gladiators,No,TRUE
Karachi kings,Yes,FALSE
Karachi kings,No,TRUE
Peshawar zalmi,No,TRUE
Lahore qalanders,No,TRUE
Multan sultan,Yes,FALSE
Quetta gladiators,Yes,FALSE
Peshawar zalmi,Yes,TRUE
Karachi kings,No,TRUE
Multan sultan,Yes,FALSE
Karachi kings,No,TRUE
Peshawar zalmi,Yes,FALSE
Quetta gladiators,No,FALSE
Lahore qalanders,Yes,TRUE
Karachi kings,No,TRUE
Peshawar zalmi,No,FALSE
Quetta gladiators,Yes,FALSE
Multan sultan,No,TRUE
Lahore qalanders,Yes,TRUE
Quetta gladiators,Yes,FALSE
Peshawar zalmi,,Match abandoned
Karachi kings,Yes,FALSE
Lahore qalanders,Yes,TRUE
Peshawar zalmi,Yes,FALSE
Multan sultan,Yes,FALSE
Karachi kings,Yes,FALSE
